text,id,cleaned_text,sentiment_score
"Google Pixel 10 and OPPO Find X8 are almost the same price…
Which one would you pick? 🤔
Pixel 10 looks super compact side by side 👀
Check out the lineup side by side and spec sheet in the replies 👇
Find X8 feels tempting… but Google’s AI is hard to ignore 😬",1967576171161526467,google pixel oppo find x almost price one would pick pixel looks super compact side side check lineup side side spec sheet replies find x feels tempting googles ai hard ignore,0.25
"RT @anan_mag: 🎁 フォロー＆リポストで当たる！
本日発売の『anan』でも、中条あやみさんが着用した
最新 Google Pixel Watch 4 &amp; Google Pixel 10 Pro をセットで。
応募の詳細は👇 をチェック！

【応募方法】
① @an…",1967575656184816032,rt anan google pixel watch amp google pixel pro,0.0
"@sondesix One thing you need to consider about charging speed is heat generation. Apple, Google, or Samsung could all implement 90w charging if they wanted to. But their engineers likely determined the heat and it's impacts of 90w charging were not worth the time saved 

Also Pixel 10 Pro",1967575640078684205,one thing need consider charging speed heat generation apple google samsung could implement w charging wanted engineers likely determined heat impacts w charging worth time saved also pixel pro,0.7269
"RT @anan_mag: 🎁 フォロー＆リポストで当たる！
本日発売の『anan』でも、中条あやみさんが着用した
最新 Google Pixel Watch 4 &amp; Google Pixel 10 Pro をセットで。
応募の詳細は👇 をチェック！

【応募方法】
① @an…",1967575481542475897,rt anan google pixel watch amp google pixel pro,0.0
"RT @ANOTHERSKY_NTV: ＼🎉視聴者プレゼント🎉／

#見上愛 さんサイン入り
Google Pixel presents アナザースカイ特製
「サタデーナイト・クリアケース」を
抽選で3名様にプレゼント🩵✨
*クリアケースは非売品です。

✅応募方法
①@ANO…",1967575394376454600,rt google pixel presents,0.0
"RT @ArsenalWFC: She scores the goalsssssssss

Stina’s fantastic goal shot on Google Pixel 🤳 https://t.co/uhh520ifkf",1967575287333564846,rt scores goalsssssssss stinas fantastic goal shot google pixel,0.5574
"RT @au_official: ／
最新機種「Google Pixel 10 Pro」の
新色Moonstoneを抽選で1台プレゼント🎁
#撮るぞつなぐぞ日本の100空 投稿キャンペーン
＼

【応募方法】
①@au_officialをフォロー
②本投稿をリポスト
締切：9/…",1967575070056087777,rt google pixel pro moonstone,0.0
"RT @anan_mag: 🎁 フォロー＆リポストで当たる！
本日発売の『anan』でも、中条あやみさんが着用した
最新 Google Pixel Watch 4 &amp; Google Pixel 10 Pro をセットで。
応募の詳細は👇 をチェック！

【応募方法】
① @an…",1967574821400940646,rt anan google pixel watch amp google pixel pro,0.0
RT @Verizon: New &amp; existing customers save on Google Pixel 10 Pro with Gemini.,1967574751733481585,rt new amp existing customers save google pixel pro gemini,0.4939
"RT @DB_Squadra_jp: 当選確認はこちら: https://t.co/SuWQIxCwBJ

ゲキスクを遊べる関連機器の中からいずれか1つを選ぶ権利(1名様)は、以下の中からお好きなものをお選び頂けます。

iPhone 16・Google Pixel 9・Nin…",1967574667813884299,rt iphone google pixel nin,0.0
"RT @ANOTHERSKY_NTV: ＼🎉視聴者プレゼント🎉／

#見上愛 さんサイン入り
Google Pixel presents アナザースカイ特製
「サタデーナイト・クリアケース」を
抽選で3名様にプレゼント🩵✨
*クリアケースは非売品です。

✅応募方法
①@ANO…",1967574349919162619,rt google pixel presents,0.0
Last chance to get the Google Pixel 10 for half off at the Breezeline Mobile device store. Hurry - this deal expires on September 17th! https://t.co/rtn2f7VPuG https://t.co/HJWpooXmsb,1967574282331955641,last chance get google pixel half breezeline mobile device store hurry deal expires september th,0.25
"ICYMI: Apple, Google, and Meta are using the latest AI technology to bring new translation features to products like the AirPods Pro 3, Google Pixel 10, and Ray-Ban Meta smart glasses. https://t.co/SVcl9gMCTz",1967574203671933154,icymi apple google meta using latest ai technology bring new translation features products like airpods pro google pixel rayban meta smart glasses,0.6369
"Google Pixel 10 Pro XL: OS, UI, aplicaţii cu un Android 16 care îţi face viaţa mai uşoară prin AI
 https://t.co/rDSwzwiqeP https://t.co/IHVde3HhvS",1967574163935076788,google pixel pro xl os ui aplicaii cu un android care face viaa mai uoar prin ai,0.4939
"【Pixel 10 Proか、Pro XLか】
なたのスマホの悩みを解決する、2つのモデルの比較。

約2万円の価格差、納得の理由とは👇
https://t.co/sbAwnEvRXV https://t.co/qEQ9gFQoE6",1967574127528808891,pixel propro xl,0.0
"The sad thing about the @Google Pixel is I sent it in for repair. They said they were going to replace it, and then they returned the same defective phone to me…",1967573976210985015,sad thing pixel sent repair said going replace returned defective phone,-0.7184
RT @Verizon: New &amp; existing customers save on Google Pixel 10 Pro with Gemini.,1967573917352301022,rt new amp existing customers save google pixel pro gemini,0.4939
"Google ストアのご紹介プログラムのお得な特典を紹介します。購入手続き時に紹介コード REF-L9FANB47GN78YAEL9O2FIVL を利用してください。この紹介についてさらに詳しく: https://t.co/guHoBZ5G5V…

グーグル ピクセル
プロモーション
クーポン
GooglePixel",1967573845898092943,google reflfanbgnyaelofivl googlepixel,0.0
"RT @DB_Squadra_jp: 当選確認はこちら: https://t.co/SuWQIxCwBJ

ゲキスクを遊べる関連機器の中からいずれか1つを選ぶ権利(1名様)は、以下の中からお好きなものをお選び頂けます。

iPhone 16・Google Pixel 9・Nin…",1967573813304213730,rt iphone google pixel nin,0.0
"Google ストアのご紹介プログラムのお得な特典を紹介します。購入手続き時に紹介コード REF-5OZPBUFHPCC613IY23HLO0X を利用してください。この紹介についてさらに詳しく: https://t.co/guHoBZ5G5V…
グーグル ピクセル
プロモーション
クーポン
GooglePixel",1967573745029234801,google refozpbufhpcciyhlox googlepixel,0.0
@drherbs_ Inakushow ungueze 16 pro to google pixel like…as an upgrade https://t.co/O08nS5zqLU,1967573694177554679,inakushow ungueze pro google pixel likeas upgrade,0.0
"@ohhyesweirdo I love my Google Pixel 9 pro, switched to it from Samsung s21. I have no intentions of going back.",1967573562648310088,love google pixel pro switched samsung intentions going back,0.6369
"Google Pixel 10%オフ 紹介コード⬇

REF-5I6JD5SCOVGUNBU5JK64YZP

グーグルピクセル
プロモーション
クーポン",1967573445916639554,google pixel refijdscovgunbujkyzp,0.0
@Siva_Bharani Ippadi old Google Pixel user's ku oru pass ku kuduka sollunga ji 😂,1967573048057610613,ippadi old google pixel users ku oru pass ku kuduka sollunga ji,0.0
@Brainsofweb3 Not at all boss but you can buy Samsung phone but if it were me I will just add a Google pixel phone and remove the 16plus that’s all,1967572939567665181,boss buy samsung phone add google pixel phone remove plus thats,0.0
I bought a @Microsoft Surface Book 3 and it was so glitchy I stopped using it. I bought a @Google Pixel and it kept freezing and having to be restarted. Right now @Apple is doing amazing things. Don’t let the innovation stop. Support @Apple and buy their products!!!,1967572935537041786,bought surface book glitchy stopped using bought pixel kept freezing restarted right amazing things dont let innovation stop support buy products,0.5999
Google Pixel 10 | 新登場 https://t.co/B04Krlvtbc,1967572786660176141,google pixel,0.0
"Google Pixel's Scam Detection feature will soon extend to more chatting apps like Whatsapp, Instagram and more

Google already provided scam detection feature in its phone and message app currently.

✅ Details - https://t.co/rL0uQSfzdf https://t.co/epNHrSyrh1",1967572597811671342,google pixels scam detection feature soon extend chatting apps like whatsapp instagram google already provided scam detection feature phone message app currently details,-0.6369
"【Yモバイル】Google Pixel 9a【特価】

✨Ymobileで大特価にて取扱い開始
※新トクするサポート対象
・支払い総額：1,200円～
・新規/他社から乗り換え
・最短でお届け
※PayPayポイント還元実施中
※契約内容は公式サイトで確認しよう
9/15PR広告、新品、白ROM、新規、MNP
https://t.co/lH92y1cioI",1967572357629042835,ygoogle pixel ymobile paypay prrommnp,0.0
"RT @DB_Squadra_jp: 当選確認はこちら: https://t.co/SuWQIxCwBJ

ゲキスクを遊べる関連機器の中からいずれか1つを選ぶ権利(1名様)は、以下の中からお好きなものをお選び頂けます。

iPhone 16・Google Pixel 9・Nin…",1967572258341417035,rt iphone google pixel nin,0.0
"RT @au_official: ／
最新機種「Google Pixel 10 Pro」の
新色Moonstoneを抽選で1台プレゼント🎁
#撮るぞつなぐぞ日本の100空 投稿キャンペーン
＼

【応募方法】
①@au_officialをフォロー
②本投稿をリポスト
締切：9/…",1967572150858179068,rt google pixel pro moonstone,0.0
"RT @au_official: ／
最新機種「Google Pixel 10 Pro」の
新色Moonstoneを抽選で1台プレゼント🎁
#撮るぞつなぐぞ日本の100空 投稿キャンペーン
＼

【応募方法】
①@au_officialをフォロー
②本投稿をリポスト
締切：9/…",1967572115412103570,rt google pixel pro moonstone,0.0
